,,09월 10일,10월 11일,11월 12일,12월 13일,13/14,ranking
Olimpi Rustavi,Geo,0.85,1.375,1.575,0.8,0.375,4.975
NK Varazdin,Cro,0.6,0.825,1.75,0.875,0.875,4.925
RNK Split,Cro,0.6,0.825,1.75,0.875,0.875,4.925
Strømsgodset IF,Nor,0.42,0.475,1.46,0.98,1.52,4.855
Vålerengen IF,Nor,1.42,0.475,1.46,0.98,0.52,4.855
The New Saints,Wal,0.3,1.675,0.625,1.1,1.15,4.85
ETO Györ,Hun,0.55,2.05,0.45,0.6,1.175,4.825
St. Johnstone,Sco,0.5332,0.72,0.55,1.36,1.65,4.813
Hibernian,Sco,0.5332,1.72,0.55,0.86,1.15,4.813
Polonia Warsaw,Pol,1.425,0.9,1.325,0.5,0.625,4.775
St. Patrick's Athletic,Irl,1.775,0.2,1.3,1.2,0.3,4.775
Gefle IF,Swe,0.5,1.02,0.58,1.025,1.64,4.765
AGF Aarhus,Den,0.88,1.34,0.62,1.16,0.76,4.76
Naftan Novopolotsk,Bls,1.175,1.175,0.625,1.4,0.35,4.725
Cyprus,,0.85,0.625,1.825,0.8,0.55,4.65
FC Beroe Stara Zagora,Bul,0.625,1.925,0.3,0.15,1.625,4.625
Skënderbeu Korçë,Alb,0.2,0.175,1.175,1.15,1.9,4.6
Levadia Tallinn,Est,1.675,1.05,0.575,0.575,0.7,4.575
Rabotnicki Skopje,Mac,1.1,1.275,1.825,0.25,0.1,4.55
Linfield Belfast,Nir,0.275,1.225,1.1,1.2,0.675,4.475
Valletta FC,Mlt,0.65,0.8,1.1666,1.175,0.675,4.466
Olimpija Ljubljana,Slo,0.275,0.55,1.45,1.15,1.025,4.45
Lokomotiva Zagreb,Cro,0.6,0.825,0.75,0.875,1.375,4.425
NK Osijek,Cro,0.6,0.825,0.75,1.375,0.875,4.425
NK Sibenik,Cro,0.6,1.325,0.75,0.875,0.875,4.425
Cibalia Vinkovci,Cro,0.6,1.325,0.75,0.875,0.875,4.425
Inter Baku,Azb,0.55,1.4,0.275,1.1,1,4.325
Pyunik Yerevan,Arm,1.1,1.05,1.025,0.425,0.725,4.325
Honvéd Budapest,Hun,1.55,0.55,0.45,1.1,0.675,4.325
FK Baku,Azb,1.8,0.9,0.275,0.85,0.5,4.325
Aberdeen,Sco,1.5332,0.72,0.55,0.86,0.65,4.313
Piast Gliwice,Pol,0.425,0.9,1.325,0.5,1.125,4.275
Denmark,,0.88,1.34,0.62,0.66,0.76,4.26
Siroki Brijeg,Bos,0.85,0.875,0.475,0.75,1.3,4.25
Torpedo Zhodino,Bls,0.675,1.675,0.625,0.9,0.35,4.225
MTZ-Ripo Minsk,Bls,1.175,1.175,0.625,0.9,0.35,4.225
FK Senica,Svk,0.5,0.6,1.475,0.8,0.825,4.2
Inter Turku,Fin,1.275,1.36,0.3,0.9,0.35,4.185
Botev Plovdiv,Bul,0.625,0.925,0.3,0.15,2.125,4.125
Lokomotiv Sofia,Bul,0.625,0.925,1.3,0.15,1.125,4.125
Cherno More Varna,Bul,1.625,0.925,0.3,0.15,1.125,4.125
Skonto Riga,Lat,0.95,0.35,1.125,0.75,0.825,4
Zrinjski Mostar,Bos,1.35,1.375,0.225,0.25,0.8,4
Metalurgs Liepaja,Lat,0.95,1.1,0.625,0.75,0.575,4
Honka Espoo,Fin,1.275,0.86,0.8,0.4,0.6,3.935
Croatia,,0.6,0.825,0.75,0.875,0.875,3.925
Fredrikstad FK,Nor,1.42,0.475,0.46,0.98,0.52,3.855
Breidablik,Isl,0.25,0.575,1.275,0.25,1.5,3.85
Milsami Orhei,Mol,0.425,0.425,0.35,0.95,1.675,3.825
Khazar Lenkoran,Azb,0.3,0.65,0.775,1.1,1,3.825
OFK Belgrade,Srb,0.6,1.7,0.425,0.6,0.5,3.825
Spartak Zlatibor Voda,Srb,0.6,1.7,0.425,0.6,0.5,3.825
FK Sevojno,Srb,1.6,0.7,0.425,0.6,0.5,3.825
Falkirk FC,Sco,1.0332,0.72,0.55,0.86,0.65,3.813
Sligo Rovers,Irl,0.525,0.2,1.3,0.7,1.05,3.775
Bohemians Dublin,Irl,1.275,1.2,0.8,0.45,0.05,3.775
Poland,,0.425,0.9,1.325,0.5,0.625,3.775
Örebro SK,Swe,0.5,0.52,1.08,1.025,0.64,3.765
Belarus,,0.675,1.175,0.625,0.9,0.35,3.725
Birkirkara,Mlt,0.4,1.3,0.4166,0.425,1.175,3.716
Mura Murska Sobota,Slo,0.275,0.3,0.45,2.15,0.525,3.7
MFK Kosice,Svk,2,0.6,0.475,0.3,0.325,3.7
Buducnost Podgorica,Mon,0.475,1.35,0.35,1.275,0.25,3.7
Mogren Budva,Mon,1.225,0.85,1.1,0.275,0.25,3.7
FC Vaduz,Lie,1.2,0.6,1.4,,0.45,3.65
Lokomotiv Plovdiv,Bul,0.625,0.925,0.3,0.65,1.125,3.625
SK Tirana,Alb,1.2,0.675,0.675,0.65,0.4,3.6
FK Jagodina,Srb,0.6,0.7,0.425,0.85,1,3.575
Iskra-Stal Ribnita,Mol,0.925,0.925,0.6,0.45,0.675,3.575
Flora Tallinn,Est,0.675,0.3,1.075,1.075,0.45,3.575
Georgia Tbilisi,Geo,1.35,0.875,0.575,0.3,0.375,3.475
Rudar Pljevlja,Mon,0.225,1.35,0.6,0.525,0.75,3.45
NK Koper,Slo,0.275,1.3,0.7,0.65,0.525,3.45
EB Streymur,Far,1,0.3,0.6,0.35,1.175,3.425
Tobol Kustanai,Kaz,0.75,0.425,1.325,0.275,0.625,3.4
IL Hødd,Nor,0.42,0.475,0.46,0.98,1.02,3.355
